province,city,update_time,nowConfirm,confirm,suspect,dead,deadRate,showRate,heal,healRate,showHeal
黑龙江,伊春,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
黑龙江,佳木斯,2020-03-26 13:01:49,0,15,0,0,0.00,False,15,100.00,True
吉林,境外输入,2020-03-26 13:01:49,2,2,0,0,0.00,False,0,0.00,True
吉林,通化,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
吉林,长春,2020-03-26 13:01:49,0,45,0,0,0.00,False,45,100.00,True
吉林,白城,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
吉林,四平,2020-03-26 13:01:49,0,15,0,1,6.67,False,14,93.33,True
吉林,公主岭,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
吉林,辽源,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
吉林,延边,2020-03-26 13:01:49,0,5,0,0,0.00,False,5,100.00,True
吉林,吉林,2020-03-26 13:01:49,0,5,0,0,0.00,False,5,100.00,True
吉林,松原,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
