省份,城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
海南,陵水县,2020-06-21 11:12:36,0,4,4,0,0,0
海南,乐东,2020-06-21 11:12:36,0,2,2,0,0,0
海南,文昌,2020-06-21 11:12:36,0,3,3,0,0,0
海南,定安县,2020-06-21 11:12:36,0,3,2,1,0,0
海南,地区待确认,2020-06-21 11:12:36,-1,0,1,0,0,0
内蒙古,境外输入,2020-06-21 11:12:36,2,161,159,0,0,0
内蒙古,呼伦贝尔,2020-06-21 11:12:36,0,9,9,0,0,0
内蒙古,包头,2020-06-21 11:12:36,0,11,11,0,0,0
内蒙古,呼和浩特,2020-06-21 11:12:36,0,7,7,0,0,0
内蒙古,乌兰察布,2020-06-21 11:12:36,0,3,3,0,0,0
内蒙古,锡林郭勒,2020-06-21 11:12:36,0,9,9,0,0,0
内蒙古,赤峰,2020-06-21 11:12:36,0,9,9,0,0,0
内蒙古,通辽,2020-06-21 11:12:36,0,7,7,0,0,0
内蒙古,鄂尔多斯,2020-06-21 11:12:36,0,11,11,0,0,0
内蒙古,巴彦淖尔,2020-06-21 11:12:36,0,8,7,1,0,0
内蒙古,兴安盟,2020-06-21 11:12:36,0,1,1,0,0,0
内蒙古,乌海,2020-06-21 11:12:36,0,2,2,0,0,0
浙江,台州,2020-06-21 11:12:36,1,147,146,0,0,0
浙江,金华,2020-06-21 11:12:36,0,55,55,0,0,0
浙江,省十里丰监狱,2020-06-21 11:12:36,0,36,36,0,0,0
浙江,丽水,2020-06-21 11:12:36,0,17,17,0,0,0
浙江,舟山,2020-06-21 11:12:36,0,10,10,0,0,0
浙江,衢州,2020-06-21 11:12:36,0,14,14,0,0,0
浙江,境外输入,2020-06-21 11:12:36,0,50,50,0,0,0
浙江,绍兴,2020-06-21 11:12:36,0,42,42,0,0,0
浙江,嘉兴,2020-06-21 11:12:36,0,46,46,0,0,0
浙江,湖州,2020-06-21 11:12:36,0,10,10,0,0,0
浙江,温州,2020-06-21 11:12:36,0,504,503,1,0,0
浙江,宁波,2020-06-21 11:12:36,0,157,157,0,0,0
浙江,杭州,2020-06-21 11:12:36,0,181,181,0,0,0
青海,海北州,2020-06-21 11:12:36,0,3,3,0,0,0
青海,西宁,2020-06-21 11:12:36,0,15,15,0,0,0
新疆,兵团第九师,2020-06-21 11:12:36,0,4,3,1,0,0
新疆,吐鲁番,2020-06-21 11:12:36,0,3,3,0,0,0
新疆,乌鲁木齐,2020-06-21 11:12:36,0,23,23,0,0,0
新疆,昌吉州,2020-06-21 11:12:36,0,4,4,0,0,0
新疆,第八师石河子,2020-06-21 11:12:36,0,4,3,1,0,0
新疆,兵团第四师,2020-06-21 11:12:36,0,10,9,1,0,0
新疆,伊犁州,2020-06-21 11:12:36,0,18,18,0,0,0
新疆,六师五家渠,2020-06-21 11:12:36,0,2,2,0,0,0
新疆,兵团第十二师,2020-06-21 11:12:36,0,3,3,0,0,0
新疆,巴州,2020-06-21 11:12:36,0,3,3,0,0,0
新疆,第七师,2020-06-21 11:12:36,0,1,1,0,0,0
新疆,阿克苏,2020-06-21 11:12:36,0,1,1,0,0,0
宁夏,境外输入,2020-06-21 11:12:36,0,3,3,0,0,0
宁夏,银川,2020-06-21 11:12:36,0,34,34,0,0,0
宁夏,吴忠,2020-06-21 11:12:36,0,28,28,0,0,0
宁夏,固原,2020-06-21 11:12:36,0,5,5,0,0,0
宁夏,中卫,2020-06-21 11:12:36,0,3,3,0,0,0
宁夏,石嘴山,2020-06-21 11:12:36,0,1,1,0,0,0
宁夏,宁东管委会,2020-06-21 11:12:36,0,1,1,0,0,0
山东,境外输入,2020-06-21 11:12:36,0,29,29,0,0,0
山东,青岛,2020-06-21 11:12:36,0,65,64,1,0,0
山东,济宁,2020-06-21 11:12:36,0,260,260,0,0,0
山东,济南,2020-06-21 11:12:36,0,47,47,0,0,0
山东,烟台,2020-06-21 11:12:36,0,47,47,0,0,0
山东,枣庄,2020-06-21 11:12:36,0,24,24,0,0,0
山东,淄博,2020-06-21 11:12:36,0,30,29,1,0,0
山东,潍坊,2020-06-21 11:12:36,0,44,44,0,0,0
山东,泰安,2020-06-21 11:12:36,0,35,33,2,0,0
山东,威海,2020-06-21 11:12:36,0,38,37,1,0,0
山东,日照,2020-06-21 11:12:36,0,16,16,0,0,0
山东,临沂,2020-06-21 11:12:36,0,49,49,0,0,0
山东,德州,2020-06-21 11:12:36,0,37,35,2,0,0
山东,聊城,2020-06-21 11:12:36,0,38,38,0,0,0
山东,滨州,2020-06-21 11:12:36,0,15,15,0,0,0
山东,菏泽,2020-06-21 11:12:36,0,18,18,0,0,0
山西,境外输入,2020-06-21 11:12:36,0,64,64,0,0,0
山西,太原,2020-06-21 11:12:36,0,21,21,0,0,0
山西,晋中,2020-06-21 11:12:36,0,37,37,0,0,0
山西,大同,2020-06-21 11:12:36,0,12,12,0,0,0
山西,运城,2020-06-21 11:12:36,0,19,19,0,0,0
山西,晋城,2020-06-21 11:12:36,0,10,10,0,0,0
山西,忻州,2020-06-21 11:12:36,0,7,7,0,0,0
山西,长治,2020-06-21 11:12:36,0,8,8,0,0,0
山西,朔州,2020-06-21 11:12:36,0,8,8,0,0,0
山西,临汾,2020-06-21 11:12:36,0,2,2,0,0,0
山西,阳泉,2020-06-21 11:12:36,0,4,4,0,0,0
山西,吕梁,2020-06-21 11:12:36,0,6,6,0,0,0
